a_text,a_source,label
cow urine and dung is a solution of coronavirus,social_media,RUMOR
coronavirus health myths fact-checked,social_media,RUMOR
coronavirus had come to punish meat-eaters,social_media,RUMOR
there is evidence to prove coronavirus infection by consumption of poultry products,social_media,RUMOR
coronavirus has also led some businesses to sell products that mattress can fight the virus,social_media,RUMOR
drinking milk can harm the coronavirus affected people,social_media,RUMOR
harvard professor arrested for manufacturing novel coroanavirus,social_media,RUMOR
kenya rope in the maasai tribe to enforce a lockdown,social_media,RUMOR
video of migrant shipwreck off libyan coast revived with coronavirus,social_media,RUMOR
2018 photo of kerala cm sitting in candlelight peddled as recent,social_media,RUMOR
dated clip falsely shared as gandhis violating lockdown,social_media,RUMOR
"photo shows that india illuminated during PM Modi's 9 pm,9 minute",social_media,RUMOR
video shows that muslim man spitting on bread to spread coronavirus,social_media,RUMOR
mock drill video from UP goes viral with communal coronavirus spin,social_media,RUMOR
viral messages stating WHO protocols for lockdown extension are false,social_media,RUMOR
disaster management act does not restrict news reports on COVID-19,social_media,RUMOR
news report lockdown extended to september,social_media,RUMOR
coronavirus can't resist due to heat ,social_media,RUMOR
chicken infected with coronavirus in india too,social_media,RUMOR
mutton infected with coronavirus in india,social_media,RUMOR
coronavirus does not affecred by touching hands,social_media,RUMOR
coronavirus is the virus of china so it will not harm indian people,social_media,RUMOR
those who are not affected  by coronavirus they should not wear mask,social_media,RUMOR
corona can not be affected in morning time,social_media,RUMOR
coronavirus can affect only children under 10,social_media,RUMOR
after controling the breathe about 30 seconds we can suspect if the person has  coronavirus,social_media,RUMOR
mosquito is the main reason of pandemic virus effect of corona,social_media,RUMOR
coroavirus found on cow milk products,social_media,RUMOR
corona cannot affect teenage people,social_media,RUMOR
lockdown is extended to september,social_media,RUMOR
corona virus can go by the slowgun go corona,social_media,RUMOR
coronavirus found on fish,social_media,RUMOR
pandemic coronavirus is a part of world war iii,social_media,RUMOR
light can decrease the effect of coronavirus,social_media,RUMOR
donald trump is affected in coronavirus,social_media,RUMOR
coronavirus can affect through air,social_media,RUMOR
pollution rate is increased by coronavirus,social_media,RUMOR
at first coronavirus attacks the heart,social_media,RUMOR
the name of coronavirus is given by india,social_media,RUMOR
atfirst the coronavirus was found in america,social_media,RUMOR
coronavirus goes direct to brain,social_media,RUMOR
coronavirus cannot be recovered by medicine,social_media,RUMOR
dogs are affected with coronavirus,social_media,RUMOR
by using packet material coronavirus can increase,social_media,RUMOR
Indian doctors are affected by COVID-19,social_media,RUMOR
hospitals are closed for coronavirus ,social_media,RUMOR
for coronavirus earthquake can happen,social_media,RUMOR
in future countries will be destroyed by coronavirus,social_media,RUMOR
china has imported this virus to destroy the world,social_media,RUMOR
coronavirus affect the most in night time,social_media,RUMOR
none is affected in indonesia ,social_media,RUMOR
garlic can cure coronavirus,social_media,RUMOR
washing hands is not needed for coronavirus,social_media,RUMOR
safe distance from people can affect more,social_media,RUMOR
coronavirus is artificially prepared by america,social_media,RUMOR
coronavirus can affect people in darkness,social_media,RUMOR
the antivirus of corona is made in itali,social_media,RUMOR
coronavirus is a blood circulated virus,social_media,RUMOR
Text messages attributed to various officials falsely claim cities will go into complete shutdown,social_media,RUMOR
another fake message claiming to be connected to the UN is spreading hoax claims about a quarantine.,social_media,RUMOR
"including colloidal silver, vitamins, teas, and essential oils. None of these are approved treatments or preventative measures against the disease.",social_media,RUMOR
hackers have been using the virus to hack a device,social_media,RUMOR
viral post claiming your stomach acid will kill the coronavirus if you drink enough water,social_media,RUMOR
Drinking hot fluids and having water every 15 minutes will  stave off the virus,social_media,RUMOR
inhaling hot air from a hair dryer can help cure the coronavirus,social_media,RUMOR
viral WhatsApp post falsely claimed four people sick with COVID-19 got worse after taking anti-inflammatory drugs,social_media,RUMOR
hoax falsely claiming that emissions from crematoriums in China could be seen from space was first debunked in February.,social_media,RUMOR
"fake screenshot warning people to not open their doors to strangers has been circulating in New Jersey, the UK, and France",social_media,RUMOR
"Companies have been selling immunity boosting products, hinting they can stop the virus spread",social_media,RUMOR
coronavirus is not harmful for human beings,social_media,RUMOR
Ads claiming face masks are guaranteed to prevent spread of the virus will be banned on Facebook,social_media,RUMOR
text messages attributed to various officials falsely claim cities will go into complete shutdown,social_media,RUMOR
Another fake message claiming to be connected to the UN is spreading hoax claims about a quarantine,social_media,RUMOR
"Hoax audio claiming to be from someone with sources at the Pentagon has spread online and across group chats. It mirrors the hoax texts attributed to other authorities, which have since been disavowed.",social_media,RUMOR
A viral post claiming your stomach acid will kill the coronavirus,social_media,RUMOR
This bad health advice has also been spread via voice message. Drinking hot fluids and having water every 15 minutes will stave off the virus,social_media,RUMOR
"On March 19, the World Health Organization officially stated that ibuprofen is safe.",social_media,RUMOR
a hoax claiming that emissions from crematoriums in China could be seen from space was first debunked in February.,social_media,RUMOR
coronavirus was stolen from a lab in canada,social_media,RUMOR
group texts claiming the British army has been called in to help with the response to COVID-19 don't actually show the UK,social_media,RUMOR
A viral video of tanks in San Diego is from 2017 and has nothing to do with the coronavirus.,social_media,RUMOR
believe texts claiming to share insider information from a Goldman Sachs investment call. The comments being circulated on social media platforms attributing statistics on Covid-19 to Goldman Sachs were prepared by an unidentified author were not authorized and contain erroneous information and attribution  a spokesperson for Goldman Sachs told BuzzFeed News.,social_media,RUMOR
doctors are getting mugged in London,social_media,RUMOR
The screenshot claiming Russia unleashed 500 lions to keep people indoors is fake,social_media,RUMOR
The Dutch Air Force is going to disinfect the entire country with helicopters.,social_media,RUMOR
purchase home testing kits for COVID-19,social_media,RUMOR
A  document is circulating online purporting to show presidential hopeful Joe Biden diagnosed with COVID-19.,social_media,RUMOR
images purporting to be medical advice from UNICEF are circulating on social media and group chats,social_media,RUMOR
Misleading video clip on COVID-19 test kits,social_media,RUMOR
1 April Normal school day,social_media,RUMOR
7 April Foreign nations to depart South Africa,social_media,RUMOR
31 March 90 day lockdown,social_media,RUMOR
25 March Schools opening date might be carried to the 10th of September,social_media,RUMOR
24 March List of critical services required during the imposition of restricted movement during COVID-19,social_media,RUMOR
22 March Landlords barred from collecting house rent for the next 90 days,social_media,RUMOR
21 March Chinese nationals buying their way into the country,social_media,RUMOR
20 March  Pres Ramaphosa  helicopters spraying chemicals solutions,social_media,RUMOR
meth can be contaminated with COVID-19,social_media,RUMOR
"the Pope have coronavirus. The hoax comes from a newly registered website and has amassed over 60,000 Facebook engagements.",social_media,RUMOR
Chuck Schumer tweet is being spread across platforms,social_media,RUMOR
Bill Gates  finance a lab that created COVID-19.,social_media,RUMOR
"In Australia, multiple Facebook posts shared hundreds of times claim to show a list of foods and locations in Sydney which have been contaminated by the new coronavirus",social_media,RUMOR
"A video with more than 88,000 views on Facebook alone purported to show the market in Wuhan where the virus strain is thought to have begun.",social_media,RUMOR
"A Sri Lankan Facebook post shared thousands of times claims doctors are projecting that the entire population of Wuhan, a city of 11 million people, would likely die of the coronavirus",social_media,RUMOR
Salt water can kill the virus,social_media,RUMOR
The use of colloidal silver was promoted on US televangelist Jim Bakker's show. Colloidal silver is tiny particles of the metal suspended in liquid. A guest on the show claimed the solution kills some strains of coronavirus within 12 hours,social_media,RUMOR
"One post, copied and pasted by multiple Facebook accounts, quotes a Japanese doctor who recommends drinking water every 15 minutes to flush out any virus that might have entered the mouth. A version in Arabic has been shared more than 250,000 times.",social_media,RUMOR
Heat and avoiding ice cream can kill coronavirus,social_media,RUMOR
garlic can cure coronavirus,social_media,RUMOR
icecream and hot water can kill coronavirus,social_media,RUMOR
"A video with more than 88,000 views on Facebook alone purported to show the market in Wuhan where the virus strain is thought to have begun",social_media,RUMOR
there is coronavirus infestation at a Florida hospital,social_media,RUMOR
air purifiers are not an effective way to protect yourself against COVID-19,social_media,RUMOR
"Yes, there was a coronavirus patent filed in 2015",social_media,RUMOR
FEMA did not propose enacting martial law to contain coronovirus,social_media,RUMOR
there aren't 23 confirmed cases of coronavirus in major US cities,social_media,RUMOR
A viral tweet misrepresents the CBC News article about two Chinese scientists being expelled from Canada,social_media,RUMOR
a photo of a newly built coronavirus hospital in Wuhan,social_media,RUMOR
There is a Canadian Department of Health message spreading on WhatsApp,social_media,RUMOR
Another WhatsApp message claims to show a list of Toronto schools affected by coronavirus,social_media,RUMOR
"A image of the Ryerson University website spread online, falsely claiming there was a virus outbreak",social_media,RUMOR
Vitamin C will cure or prevent a coronavirus infection,social_media,RUMOR
Cannabis will not help prevent or cure coronavirus,social_media,RUMOR
Who says rare inflammatory disease in children could be linked to coronavirus,social_media,RUMOR
haryana roadways bus service resumes within state with limitations,social_media,RUMOR
black swan author explains how to navigate the coronavirus crisis,social_media,RUMOR
coronavirus spoils internship plans at IIM's,social_media,RUMOR
millions of views false coronavirus claims on youtube,social_media,RUMOR
dorries told to check validity of posts,social_media,RUMOR
far right spreads coronavirus infodemic on facebook,social_media,RUMOR
twitter will label covid-19 misinformation tweets,social_media,RUMOR
coronavirus health claims fact-checked,social_media,RUMOR
seven types of people who start and spread viral misinformation,social_media,RUMOR
phoning hotlines to ask about treating themselves with disinfectant.,social_media,RUMOR
coronavirus might have been brought to wuhan by US Army,social_media,RUMOR
claims about disinfectant and sunlight fact checked,social_media,RUMOR
ofcom rules on holmes and lcke coronavirus remarks,social_media,RUMOR
mask is harmful for coronavirus patients,social_media,RUMOR
"south africa's chief justice,family refused testing for",social_media,RUMOR
facemask video ad claims stock image personnel as virus infected,social_media,RUMOR
quarantine detector dog assaulted during coronavirus pandemic,social_media,RUMOR
neem leaves can treat the novel coronavirus ,social_media,RUMOR
school textbook lists cure for coronavirus,social_media,RUMOR
video of black Friday sale shared as panic buying in malaysia lockdown,social_media,RUMOR
musicians in new zealand recite allah's name against coronavirus,social_media,RUMOR
afghan nationals enter pakistan without testing for virus,social_media,RUMOR
still from grey's anatomy shared as medical staff dead in italy,social_media,RUMOR
philippine hospital dismisses claim linking virus to groceries,social_media,RUMOR
children in senegal did not die after receiving virus vaccine,social_media,RUMOR
south african president asked foreigners to leave the country,social_media,RUMOR
wearing shoes indoors spiked coronavirus cases in italy,social_media,RUMOR
"muslims ignore virus curfew,convene at mosque in sri lanka",social_media,RUMOR
1869 poem reprinted during spanish flu pandemic resurfaces in 2020,social_media,RUMOR
video of orangutan washing hands linked to virus pandemic,social_media,RUMOR
italians sing chinese song to thank china for virus aid,social_media,RUMOR
chinese people topple down 5g towers ,social_media,RUMOR
the queen did test positive for coronavirus,social_media,RUMOR
"a biological researcher ask ronaldo,messi to find virus cure ",social_media,RUMOR
china and japan are free of the novel virus,social_media,RUMOR
mass Friday prayer in china during pandemic,social_media,RUMOR
A US Patent on the novel,social_media,RUMOR
"images show boy crying,parents infected with virus",social_media,RUMOR
food donations were made in turkey during lockdown,social_media,RUMOR
ventilators for virus stuck in a warehouse in new york,social_media,RUMOR
"viral posts claim coronavirus vaccine,drugs developed in asia",social_media,RUMOR
video shows virus victims bodies removed from iran hospital,social_media,RUMOR
singapore is fining those flouting social distancing rules,social_media,RUMOR
who report did say coronavirus stays,social_media,RUMOR
thai police can fine people who fail to wear masks in public,social_media,RUMOR
china did send doctors to malaysia to combat virus,social_media,RUMOR
public distrust is hampering africa's fight against virus,social_media,RUMOR
rail tanker stamped with covid-19,social_media,RUMOR
infographic show the correct timeline of the covid-19,social_media,RUMOR
old video edited to show jack ma praising china's response to virus,social_media,RUMOR
a coronavirus quarantine hotel did collapse in china,social_media,RUMOR
china ban korans during the coronavirus outbreak,social_media,RUMOR
colour coded soaps and handkerchiefs to prevent coronavirs,social_media,RUMOR
animal vaccines prove virus is not a new viral disease,social_media,RUMOR
the UK hospital did issue these guidelines to prevent virus,social_media,RUMOR
an alcohol based disinfectant cause an explosion,social_media,RUMOR
A US Soldier did wipe his saliva on a subway train in wuhan,social_media,RUMOR
bathing in hot water prevent coronavirus,social_media,RUMOR
bitter group help cure coronavirus within two hours,social_media,RUMOR
salt or vinegar warm water gargle eliminates the coronavirus,social_media,RUMOR
A US Biotech company already develop the virus vaccine,social_media,RUMOR
"breathing in hot air from sauna,hair dryer does treat virus",social_media,RUMOR
there are 7 things that virus fears,social_media,RUMOR
refugees in malaysia are resisting virus testing,social_media,RUMOR
video from Iran shared as body bags of coronavirus victims in italy,social_media,RUMOR
report claims water ablution ritual kills the novel coronavirus,social_media,RUMOR
old video shared as novel coronavirus induced panic buying in germany,social_media,RUMOR
"coronavirus testing:9.2 tests per million,experts say too low",social_media,RUMOR
australian prime minister did order a national shutdown,social_media,RUMOR
"volcanic ash kills novel coronavirus,hazardous to health ",social_media,RUMOR
ancient medicinal herb drink to treat coronavirus,social_media,RUMOR
parents are getting free formula amidst the covid-19 panic buying,social_media,RUMOR
bananas defend against coronavirus,social_media,RUMOR
birds are affected with virus in india,social_media,RUMOR
birds are affected in italy,social_media,RUMOR
veg meals can cure corona patients,social_media,RUMOR
mask with metals can cure virus,social_media,RUMOR
vegan food shelf untouched in panic buying post coronavirus outbreak,social_media,RUMOR
the covid-19 fits pattern of viral outbreak every 100 years,social_media,RUMOR
death toll chart comparing other epidemics with covid-19 is misleading,social_media,RUMOR
"smoking increases risk of developing severe coronavirus,warns WHO",social_media,RUMOR
post in Sri Lanka claim poultry infected with coronavirus,social_media,RUMOR
consuming silver particle prevent or treat coronavirus patients,social_media,RUMOR
donating blood in the US will get a free covid-19 test,social_media,RUMOR
italians quarantined in brothel,social_media,RUMOR
employee hide work from home advice on virus poster,social_media,RUMOR
anti-malaria drug cures coronavirus,social_media,RUMOR
drinking water every 5 minutes can cure virus affected ,social_media,RUMOR
coronavirus infection can cure with alcohol consumption,social_media,RUMOR
inaccurate covid-19 details attributed to thai doctor,social_media,RUMOR
US Radio host rush limbaugh falsely likens virus to common cold,social_media,RUMOR
video claims as wuhan residents collecting death certificates,social_media,RUMOR
drinking warm water with lemon protect you from coronavirus,social_media,RUMOR
philippine refutes advisory on visiting malls,social_media,RUMOR
holding your breath is a test for coronavirus,social_media,RUMOR
tom hanks gifted a volleyball in coronavirus quarantine,social_media,RUMOR
coronavirus looks magnified 2600 times,social_media,RUMOR
facial hair recommendations shared by the CDC,social_media,RUMOR
officials visits coronavirus infected vice president,boom_live,RUMOR
nigerian driver threatening to spread coronavirus across the country,boom_live,RUMOR
coronavirus prevention claims on social media viral in sri lanka,boom_live,RUMOR
coronavirus name is given by italy,boom_live,RUMOR
coronavirus first found in india,boom_live,RUMOR
coronavirus is claimed as epidemic,boom_live,RUMOR
corona affected people are called cudo,boom_live,RUMOR
america is free from coronavirus,boom_live,RUMOR
man who ate bat have virus,boom_live,RUMOR
dead bodies left on wuhan streets after the coronavirus outbreak,boom_live,RUMOR
combodian PM hospitalized after contracting coronavirus,boom_live,RUMOR
chinese are fleeing to vietnam post coronavirus outbreak,boom_live,RUMOR
contagion film scene shared as mass burial of virus victims,boom_live,RUMOR
sulpher dioxide levels riss in wuhan post virus outbreak,boom_live,RUMOR
video shared as chaos in chinese supermarkets due to covid-19,boom_live,RUMOR
map of global flight paths reported as spread of virus,boom_live,RUMOR
germany producing the virus vaccine,boom_live,RUMOR
africa is making metal mask to prevent coronavirus,boom_live,RUMOR
carbon is good for coronavirus patients,boom_live,RUMOR
coronavirus can cure using organic chemicals,boom_live,RUMOR
animals are affecting in South Africa,boom_live,RUMOR
US government suggest to not eat ice cream as it is harmful for coronavirus patient,boom_live,RUMOR
coronavirus first attack brain cells,boom_live,RUMOR
video proclaimed that two died in germany ,boom_live,RUMOR
virus affected people are mostly ,boom_live,RUMOR
drug is good for coonavirus patients,boom_live,RUMOR
inhaling different gas decrease the growth of coronavirus,boom_live,RUMOR
virus infection can cure by using different tree leafs,boom_live,RUMOR
Trump ordered Indian people from his country affected people should come to India,boom_live,RUMOR
Indonesia video licked that minister is also affected with virus,boom_live,RUMOR
animals are spreading coronavirus ,boom_live,RUMOR
birds are affected with coronavirus in Africa,boom_live,RUMOR
video from indonesia shown a man and his family died with severe virus infection,boom_live,RUMOR
coronavirus vaccine is made by South Africa,boom_live,RUMOR
only 7 people are died in North America,boom_live,RUMOR
corona patients are decreasing in India,boom_live,RUMOR
coronavirus was first found on Japan,boom_live,RUMOR
doctors are affected in Italy,boom_live,RUMOR
medical stores are closed all over the world,boom_live,RUMOR
photos of a farmer shown that he is infected with virus,boom_live,RUMOR
insects are harmful for covid-19 patient,boom_live,RUMOR
coronavirus is made in miliniam laboratory in Sun Fransisco,boom_live,RUMOR
cow urine kills coronavirus,boom_live,RUMOR
milk can cure coronavirus,boom_live,RUMOR
Indians have better immune systems to fight coronavirus,boom_live,RUMOR
whatsapp message get viral proclaiming coronavirus is gone,boom_live,RUMOR
corona patients are incresing in China,boom_live,RUMOR
coronavirus is not nosogenic,boom_live,RUMOR
bogus badges will protect you from coronavirus,boom_live,RUMOR
"google,facebook,twitter face covid content probe",boom_live,RUMOR
Brazil's health workers battle for virus,boom_live,RUMOR
Dark web scammers exploit virus fear and doubt,boom_live,RUMOR
millions of views false coronavirus claims on youtube,boom_live,RUMOR
Noida:Man who was not arrested for spreading fake news about virus on facebook,boom_live,RUMOR
"In Rajasthan,a health care worker was not arrested for posting misleading data on the number d virus cases",boom_live,RUMOR
coronavirus found on dogs,boom_live,RUMOR
coronavirus is tested in ginipic at first ,boom_live,RUMOR
anti-virus of corona is made in japan except wuhan,boom_live,RUMOR
police get a guide to detect fake news about virus,boom_live,RUMOR
"coronavirus has another name,Tomato virus",boom_live,RUMOR
leaf is the only way that can abide coronavirus,boom_live,RUMOR
losing eyesight is one of the symptoms of coronavirus,boom_live,RUMOR
Irfaan khan died of coronavirus,boom_live,RUMOR
coronavirus is oval in shape,boom_live,RUMOR
pulse oximeter can detect whether a person has coronavirus,boom_live,RUMOR
coronavirus kills a patient in 24 hours,boom_live,RUMOR
black mask can kill coronavirus,boom_live,RUMOR
coronavirus vaccine is made of human blood,boom_live,RUMOR
School Textbook Lists Cure For Coronavirus,boom_live,RUMOR
facial recognition system can detect whether the person has coronavirus or not,boom_live,RUMOR
virus can be detected of a person by finger vain recognition system,boom_live,RUMOR
software companies have developed a software that can cure virus affected patient,boom_live,RUMOR
Rishi Kapoor was died of coronavirus,boom_live,RUMOR
Mamata Banerjee is affected of coronavirus,boom_live,RUMOR
china to evacuate citizens from india amid coronavirus pandemic,boom_live,RUMOR
japan lifts coronavirus emergency in all remaining areas,boom_live,RUMOR
"india's coronavirus death count crosses 4,000 in 31st May",boom_live,RUMOR
the signal in the noise can detect virus affected,boom_live,RUMOR
Donald Trump says he has finished taking hydroxychloroquine as virus therapy,boom_live,RUMOR
karnataka police claimed coronavirus is just a infectious material,boom_live,RUMOR
"weather matters for coronavirus,in winter it increases 100%",boom_live,RUMOR
monkeys are affected with coronavirus too,boom_live,RUMOR
prototype vaccine protects monkeys from coronavirus,boom_live,RUMOR
"Merck leaps into COVID-19 development fray with vaccine,drug deals ",boom_live,RUMOR
novel coronavirus mutations may not make it more infectious,boom_live,RUMOR
Chalet hotels shares business updates on evolving COVID-19,boom_live,RUMOR
20 Maharashtra police personnel died of COVID-19 so far,boom_live,RUMOR
"fitbit wants to build an algorithm to detect covid,asks users to enrol",boom_live,RUMOR
NYSE to not to open trading floor closed by coronavirus,boom_live,RUMOR
coronavirus can be seen by people it is not claimed as microvirus,boom_live,RUMOR
coronavirus spread through food,boom_live,RUMOR
adding pepper to your soup or other meals prevent or cure coronavirus,boom_live,RUMOR
coronavirus transmitted through houseflies,boom_live,RUMOR
spraying and introducing bleach or another disinfectant into your body will protect you against virus,boom_live,RUMOR
"drinking methanol,ethanol prevent or cure virus infected people",boom_live,RUMOR
5G mobile network spread coronavirus,boom_live,RUMOR
exposing yourself to the sun or to temperatures higher than 25 degrees prevent coronavirus,boom_live,RUMOR
cold weather and snow can kill the virus,boom_live,RUMOR
taking a hot bath prevent the virus,boom_live,RUMOR
coronavirus can be transmitted through mosquito bites,boom_live,RUMOR
hand dryers effective in killing the virus,boom_live,RUMOR
UV lamps can prevent virus affected people,boom_live,RUMOR
thermal scanners can detect coronavirus,boom_live,RUMOR
vaccines against pneumonia protect you against the virus,boom_live,RUMOR
regularly rinsing your nose with saline help prevent infection ,boom_live,RUMOR
antibiotics are effective in preventing and treating virus,boom_live,RUMOR
cyclone is happening for coronavirus pandemic result,boom_live,RUMOR
china is making coronavirus 2.O,boom_live,RUMOR
